,Latitude,Longitude
0,44.0389580000,4.3480220000
1,47.6142390000,7.2343360000
2,46.7668890000,4.4566240000
3,43.6074900000,1.4281200000
4,49.4262285502,2.0853413343
5,49.4186200000,2.0834300000
6,47.6010200000,7.0063270000
7,44.0350580851,5.0246668082
8, -17.5397800000, -149.5450200000
9,43.5969171534,1.4261841774
10,48.7020770000,2.1905530000
11,43.0585800000,2.0439080000
12,44.8267700000, -0.6013200000
13,44.8627300000, -0.5846200000
14,45.6149750000,6.3191020000
15,48.8846000000,2.3796500000
16,46.2248290000,6.3017860000
17,48.4365200000,0.1049600000
18,48.3397780000,7.0583940000
19,48.2373580000,6.9520710000
20,48.6538460000,0.4104350000
21,48.4343330000,0.0935580000
22,50.4129921000,3.6625550000
23,45.5703281257,5.9167166719
24,46.8095700000,1.6701700000
25,49.0020710000,2.0815830000
26,45.7761264739,4.8446971178
27,45.7677673652,4.8423796892
28,45.5334100000,4.8738200000
29,45.7532410000,4.8490000000
30,45.7562700000,4.8403700000
31,45.7670000000,4.8590000000
32,46.8103200000,1.6870300000
33,43.4050800000,5.2231800000
34,43.4651100000,5.3536000000
35,44.8515900000, -0.5740400000
36,45.2207770000,5.6814511000
37,44.8364600000, -0.6011900000
38,48.8804910000,2.3129920000
39,45.8695800000,1.2977500000
40,45.8532800000,1.2958800000
41,48.6240600000, -2.0337500000
42,43.4029000000,5.2164800000
43,43.2237680000,0.0941080000
44,44.7686850000, -0.1721330000
45,45.9394831000,6.6262520000
46,45.9058728408,6.1291070580
47,45.3528241000,5.9611990000
48,4.8770930000, -52.2978560000
49,47.8933600000,1.8762500000
50,45.1512100000,1.5491700000
51,42.6884800000,2.8950200000
52,45.1478379568,1.4897847174
53,49.5013935778,0.1500253379
54,49.4917610000,0.1252000000
55,47.3503784806,0.6562600230
56,43.2546200000,5.3764400000
57,43.5057400000,4.9845900000
58,45.8561400000,1.2918400000
59,49.0549269000,7.0353568000
60,45.7059400000,5.9106600000
61,48.2943000000,4.0783000000
62,43.2377220000,0.0418490000
63,47.7514100000, -3.3708400000
64,47.4394000000, -0.4860000000
65,48.2922000000,4.0861700000
66, -21.3018500000,55.5019800000
67,48.9239440000,1.9954720000
68,48.6822242291,6.1779042612
69,47.3785431072,0.6936589639
70,45.6944490006,5.9004671732
71,45.6157670000,5.2257160000
72,48.6645930000,2.2136810000
73,48.0589940000,7.4290320000
74,43.0870180000,1.3721710000
75,48.8981940000,2.3860090000
76,45.9855705454,4.7133842111
77,49.0038240000,1.1769340000
78,48.8696120000,2.3947990000
79,46.6358876566,4.8710922884
80,48.5431608637, -2.6066163174
81,47.9783870000, -4.1289730000
82,49.9034600000,2.3063700000
83,49.8609200000,2.2398800000
84,48.8076000000,2.6207300000
85,48.0653100000, -0.7549400000
86,48.1032700000, -1.7113000000
87,49.0299700000,1.1534500000
88,49.6537900000,3.2921100000
89,48.8875760000,2.3803290000
90,48.8813300000,2.3647220000
91,50.0885560000,1.5471790000
92,49.6211820000, -1.3606580000
93,45.6772440000,0.2658710000
94,46.5531250000,0.3999980000
95,48.7992650000,2.1407820000
96,42.6963000000,2.8836000000
97,49.4028900000,2.8506100000
98,48.8142200000,2.3495050000
99,48.5505780000,2.2774480000
100,43.4812510000,5.1761360000
101,45.6994300000,5.9042800000
102,48.8467590000,2.2856470000
103, -17.4782950000, -149.7790520000
104, -17.4949440000, -149.7632750000
105,48.6033200000,2.3064800000
106,48.8631620000,2.3885830000
107,47.4974300000, -0.4929900000
108,44.0270500000,2.1286300000
109,47.4453600000, -0.5268900000
110,48.8356130000,2.3027780000
111,48.8717220000,2.3416200000
112,43.0452290000,0.3006430000
113,45.7596800000,4.8495000000
114,43.5286800000, -1.4793900000
115,47.3752429267,0.6789884716
116,49.0217166232,1.1816073151
117,43.1213900000,1.6212100000
118,48.8600750000,2.3434030000
119,45.7518314492,4.8469984531
120,43.2988800000, -0.3903700000
121,46.3542180000,2.6143140000
122,48.8442760000,2.3815810000
123,48.8709430000,2.3039810000
124,48.9058500000,2.3946400000
125,44.3953390000,2.8348700000
126,48.6195700000, -4.5543690000
127,49.2609850000,1.9090460000
128,43.1301200000,5.9479800000
129,43.4909840000,6.4971200000
130,48.5529900000,7.7395300000
131,48.7008100000,6.2019600000
132,49.0219300000,1.1706900000
133,45.6319600000, -1.0317800000
134,43.3440000000,5.4590000000
135,48.8134500000,2.4436600000
136, -22.2240200000,166.4810400000
137,45.8165000000,4.8926000000
138,48.5775100000,7.7547800000
139,43.4883000000, -1.4907600000
140,47.7451100000, -3.3746300000
141,48.0077700000,2.7200400000
142,44.5434200000,6.0649170000
143,48.8623830000,2.3725280000
144,48.8563380000,2.3098190000
145,48.7982500000,2.4207900000
146,46.6197110000,4.6818490000
147,43.9594050000,0.3677680000
148,47.3328680000, -0.6534130000
149,50.6434090000,2.7298640000
150,48.7383660000,2.2339410000
151,50.6352400000,3.0581800000
152,50.0019820000,2.0349250000
153,43.3407780000, -1.4433610000
154,44.8692950000,0.1862900000
155,43.3189763542, -0.3599672019
156,43.6186431033,1.4364563674
157,48.8743820000,2.3745010000
158,48.8314800000,2.2469400000
159,49.5153860000,3.0201880000
160,42.6777555974,2.6329207420
161,45.7281419100,4.8636804521
162,45.7611500000,4.8285600000
163,48.4332800000,2.1552400000
164,43.4849900000, -1.4592600000
165,49.0996700000,6.1162800000
166,48.0925254567, -1.6509854794
167,48.8829760000,2.3348600000
168,48.8832750000,2.3072510000
169,48.8212090000,2.3342990000
170,48.8318870000,2.3558490000
171,48.8309640000,2.3559420000
172,48.8630580000,2.3793030000
173,48.7785500000,2.4172500000
174,48.5812066815,6.2672710420
175,48.6188982102, -4.1994300485
176,48.0025830000,0.3315640000
177,48.1048160000,2.1931460000
178,46.5922580000, -1.3975920000
179,49.7279470000,2.9589270000
180, -22.3090500000,166.4517700000
181,45.7659500000,4.8380900000
182,45.7729661139,4.8213833570
183,48.7211500000,2.2513800000
184,47.9741000000,0.1590600000
185,48.6028500000,7.7475200000
186,50.5336200000,2.5646460000
187,47.6590000000, -2.7689000000
188,47.9274911037,1.9248819351
189,47.2472300000, -1.6022100000
190,47.3966661311,0.6860688329
191,43.5717600000,1.4536600000
192,48.8331980000,2.3193320000
193,48.8513100000,2.3910150000
194,48.8958850000,2.2899620000
195,47.6153380000,6.1679490000
196,48.6008810000, -2.0570400000
197,45.7539625287,4.8469689488
198,48.3287754846,2.6879938958
199,44.5180800000,3.4914400000
200,44.1975650000,0.6269390000
201,44.8299300000, -0.5809200000
202,44.8114615853, -0.6183551252
203,43.5515900000,7.0164200000
204,48.8941710000,2.3327090000
205,48.8360710000,2.3466940000
206,48.9267617686,2.2946432233
207,49.2075570000,3.0530570000
208,47.7624910000,1.9909950000
209,47.7483850000,7.4046190000
210,41.9268800000,8.7823400000
211,41.9333600000,8.7431700000
212,46.6270560000,0.3550200000
213,42.6963500000,2.8640700000
214,43.3267308393, -0.3898537159
215,49.3322800000,6.0539300000
216,47.3518509943,0.6864825636
217,48.8572230000,2.2373620000
218,48.8273030000,2.3255610000
219,48.8842800000,2.3646410000
220,45.7716065743,4.8408883810
221,45.7690695827,4.8449760675
222,50.3657300000,3.1176100000
223,47.4431600000, -0.4879200000
224,47.4960800000, -0.5490800000
225,43.5967400000,1.4468200000
226,48.8260900000,2.3601180000
227,48.8281210000,2.3037310000
228,48.8365460000,2.2950000000
229,46.0670130000,6.5735330000
230,43.3267400000,3.4817200000
231,48.3981004100, -4.4650732300
232,48.8883450000,2.3480140000
233,48.8572550000,2.3099300000
234,48.8373498484,2.1526953578
235,48.7367200000,7.2395610000
236,45.7858790000,5.4531780000
237,48.0620770000, -1.7551950000
238,46.3351270000, -0.5911300000
239,43.3393910000, -1.4529900000
240,48.5433760000,2.8012560000
241,45.5881940000,5.9060480000
242,49.2456300000,4.0577400000
243,48.8496170000,2.3293180000
244,48.8629350000,2.3875260000
245,48.8348660000,2.3430790000
246,14.5050990000, -61.0455190000
247,42.6558620000,2.6659980000
248,48.1979300000,3.2709500000
249, -22.2597700000,166.4464400000
250, -20.9553400000,55.3117200000
251,45.7681200000,4.8569600000
252,45.7316100000,4.8241700000
253,45.7661900000,4.8611200000
254,45.7636185660,4.8580411077
255,48.6952200000,2.1575100000
256,48.8667400000,2.8112100000
257,50.9292000000,1.7979000000
258,50.6420970519,3.1012344360
259,50.6751600000,3.0496100000
260,48.6845835686,6.1691286787
261,47.4712700000, -0.5471700000
262,47.4733400000, -0.5765300000
263,47.4610600000, -0.4789400000
264,47.9105800000,1.9523600000
265,47.2099700000, -1.5642500000
266,47.3945000308,0.7112360001
267,44.8763000000, -0.5823000000
268,43.6068500000,1.4729200000
269,46.1518000000, -1.1398000000
270,44.9273720000,2.4435300000
271,49.2042000000, -0.3520200000
272,43.3141298106,5.4323409372
273,48.8642700000,2.3015300000
274,48.8326500000,2.3374060000
275,48.8767080000,2.3086070000
276,48.8644280000,2.3515110000
277, -17.7008788078, -149.5838749409
278,45.0687580000,4.8434690000
279,48.8827830000,2.3702720000
280,48.8790440000,2.3026530000
281,48.8167489746,2.3094651103
282,48.9085224320,2.3001229763
283,47.5920190000, -0.4529390000
284,46.4133190000, -0.2056720000
285,43.4842860323, -1.5554760396
286,48.8666130000,2.3285740000
287,45.7510200000,4.8891300000
288,45.7521400000,4.8471900000
289,45.7541100000,4.8632200000
290,45.7863400000,4.7830800000
291,48.5807380000,2.2415540000
292,48.6754290000,2.3780160000
293,49.8967000000,2.2978600000
294,48.9003720000,2.0881110000
295,48.9264300000,2.0512500000
296,47.7912400000,7.3218070000
297,48.5722910000,7.7655370000
298,50.3262300000,3.3432600000
299,50.7169300000,3.1829300000
300,49.1125700000,6.1352900000
301,48.6848500000,6.1591900000
302,47.4695000000, -0.5607000000
303,47.4428000000, -0.5350000000
304,47.4547500000, -0.5534800000
305,47.3816443544,0.6682375073
306,45.7576400000, -0.6448500000
307,43.1117500000,1.6079500000
308,48.8485530000,2.3421580000
309,48.8456900000,2.3020110000
310,48.8785310000,2.3540530000
311,48.8703680000,2.3267110000
312,48.8585020000,2.3231150000
313,48.8482620000,2.3649800000
314,48.7834965729,2.2890830040
315,49.6494080000,1.8405540000
316,43.5252460000,6.7142340000
317,44.3602450000,5.1356210000
318, -20.9588083992,55.3194451332
319,49.8906400000,2.2771380000
320,46.3364900000, -0.4757600000
321,48.5508700000,7.7108100000
322,45.1800000000,5.7100000000
323,44.8470265529, -0.6214678288
324,48.8539640000,2.2890990000
325,48.8804959756,2.3523160815
326,48.8699820000,2.3252500000
327,48.8537240000,2.3442910000
328,46.7272970000,2.5079670000
329,46.6231370000,1.8587710000
330,46.4858280000,3.9987550000
331,49.3347256100, -0.4633960000
332,48.8567710000,2.2871000000
333,48.8792700000,2.3629330000
